Symbol,Company Name,Sector,Industry,Market Cap,Country
JBHT,J.B. Hunt Transport Services Inc. Common Stock,Industrials,Trucking Freight/Courier Services,21532835332.0,United States
FSLR,First Solar Inc. Common Stock,Technology,Semiconductors,21527759766.0,United States
ENTG,Entegris Inc. Common Stock,Industrials,Plastic Products,21021006037.0,United States
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,Industrials,Broadcasting,20889596402.0,United States
ROIV,Roivant Sciences Ltd. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,20719547916.0,United Kingdom
TROW,T. Rowe Price Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,20535467934.0,United States
PFG,Principal Financial Group Inc Common Stock,Finance,Accident &Health Insurance,20269221986.0,United States
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,20150066902.0,United States
MRNA,Moderna Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),20099022166.0,United States
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,Technology,Semiconductors,19775405651.0,United States
RIVN,Rivian Automotive Inc. Class A Common Stock,Industrials,Auto Manufacturing,19731737645.0,United States
ZS,Zscaler Inc. Common Stock,Technology,EDP Services,19716156002.0,United States
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Industrials,Integrated Freight & Logistics,19435890112.0,United States
NTAP,NetApp Inc. Common Stock,Technology,Electronic Components,19417311360.0,United States
ILMN,Illumina Inc. Common Stock,Health Care,Medical Specialities,19286101928.0,United States
INCY,Incyte Corp. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,19015834137.0,United States
EVRG,Evergy Inc. Common Stock,Utilities,Power Generation,18986928085.0,United States
MDB,MongoDB Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,18978460106.0,United States
LNT,Alliant Energy Corporation Common Stock,Utilities,Power Generation,18727627782.0,United States
MKSI,MKS Inc. Common Stock,Industrials,Industrial Machinery/Components,18390941460.0,United States
GMAB,Genmab A/S ADS,Health Care,Biotechnology: Pharmaceutical Preparations,18115231056.0,Denmark
LULU,lululemon athletica inc. Common Stock,Consumer Discretionary,Apparel,17960062998.0,Canada
CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers,17769616496.0,United States
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services,17311760532.0,United States
CDW,CDW Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,16975282425.0,United States
FFIV,F5 Inc. Common Stock,Telecommunications,Computer Communications Equipment,16846699703.0,United States
SSNC,SS&C Technologies Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,16656633575.0,United States
NXT,Nextpower Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,16562480287.0,United States
VNOM,Viper Energy Inc. Class A Common Stock,Energy,Oil & Gas Production,16386759903.0,United States
TEAM,Atlassian Corporation Class A Common Stock,Technology,Computer Software: Prepackaged Software,16167511736.0,Australia
NVMI,Nova Ltd. Ordinary Shares,Technology,Electronic Components,16114920293.0,Israel
VTRS,Viatris Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,16103941171.0,United States
EWBC,East West Bancorp Inc. Common Stock,Finance,Major Banks,16082672924.0,United States
NWS,News Corporation Class B Common Stock,Consumer Discretionary,Newspapers/Magazines,16011549470.0,United States
PTC,PTC Inc. Common Stock,Technology,Computer Software: Prepackaged Software,15970468728.0,United States
RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Health Care, Medicinal Chemicals and Botanical Products ,15942322394.0,Hong Kong
CSGP,CoStar Group Inc. Common Stock,Real Estate,Real Estate,15557539735.0,United States
SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,15555755445.0,United States
SMMT,Summit Therapeutics Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations,15543630004.0,United States
TRMB,Trimble Inc. Common Stock,Industrials,Industrial Machinery/Components,15524415217.0,United States
NDSN,Nordson Corporation Common Stock,Industrials,Industrial Machinery/Components,15512860768.0,United States
GRAB,Grab Holdings Limited Class A Ordinary Shares,Real Estate,Real Estate,15294797051.0,Singapore
ROKU,Roku Inc. Class A Common Stock,Telecommunications,Cable & Other Pay Television Services,15232238126.0,United States
BBIO,BridgeBio Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,15096101765.0,United States
KSPI,Joint Stock Company Kaspi.kz American Depository Shares,,,15059583806.0,Kazakhstan
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software,15005196574.0,Israel
WMG,Warner Music Group Corp. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,14980888098.0,United States
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors,14977711225.0,United States
TPG,TPG Inc. Class A Common Stock,Finance,Investment Managers,14883712033.0,United States
TLN,Talen Energy Corporation Common Stock,Utilities,Electric Utilities: Central,14802403883.0,United States
LSCC,Lattice Semiconductor Corporation Common Stock,Technology,Semiconductors,14749049454.0,United States
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components,14342236697.0,United States
REG,Regency Centers Corporation Common Stock,Real Estate,Real Estate Investment Trusts,14340920294.0,United States
MEDP,Medpace Holdings Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,14314145888.0,United States
IREN,IREN Limited Ordinary Shares,Technology,EDP Services,14311316096.0,Australia
LECO,Lincoln Electric Holdings Inc. Common Shares,Industrials,Industrial Machinery/Components,14262401684.0,United States
STRL,Sterling Infrastructure Inc. Common Stock,Industrials,Military/Government/Technical,14083070521.0,United States
COO,The Cooper Companies Inc. Common Stock,Health Care,Ophthalmic Goods,13989702337.0,United States
AKAM,Akamai Technologies Inc. Common Stock,Real Estate,Real Estate,13977356177.0,United States
APA,APA Corporation Common Stock,Energy,Oil & Gas Production,13955782349.0,United States
HST,Host Hotels & Resorts Inc. Common Stock,Real Estate,Real Estate Investment Trusts,13932245971.0,United States
TIGO,Millicom International Cellular S.A. Common Stock,Telecommunications,Telecommunications Equipment,13924318298.0,Luxembourg
NWSA,News Corporation Class A Common Stock,Consumer Discretionary,Newspapers/Magazines,13851128816.0,United States
LOGI,Logitech International S.A. Ordinary Shares,Technology,Computer peripheral equipment,13842394171.0,United States
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,Industrials,Military/Government/Technical,13778388339.0,United States
PODD,Insulet Corporation Common Stock,Health Care,Medical/Dental Instruments,13701055266.0,United States
LAMR,Lamar Advertising Company Class A Common Stock,Real Estate,Real Estate Investment Trusts,13483609630.0,United States
GLPI,Gaming and Leisure Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts,13268943251.0,United States
COKE,Coca-Cola Consolidated Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),13212346716.0,United States
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies,13105811382.0,United States
PAYP,PayPay Corporation American Depository Shares,Real Estate,Real Estate,13070209600.0,Japan
ARCC,Ares Capital Corporation Common Stock,Finance,Finance: Consumer Services,13060835551.0,United States
SOLS,Solstice Advanced Materials Inc. Common Stock ,Industrials,Aerospace,13022821497.0,United States
HAS,Hasbro Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,13012025757.0,United States
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties,12939093074.0,United States
TTMI,TTM Technologies Inc. Common Stock,Technology,Electrical Products,12823594669.0,United States
NBIX,Neurocrine Biosciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),12677912646.0,United States
DRS,Leonardo DRS Inc. Common Stock,Industrials,Industrial Machinery/Components,12616137443.0,Israel
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors,12403346081.0,United States
IONS,Ionis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12381141224.0,United States
FIVE,Five Below Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,12218189216.0,United States
RMBS,Rambus Inc. Common Stock,Technology,Semiconductors,12197599233.0,United States
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers,12069405777.0,United States
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12058853504.0,United States
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),Health Care,Biotechnology: Pharmaceutical Preparations,12023351959.0,Ireland
PSKY,Paramount Skydance Corporation Class B Common Stock,Industrials,Broadcasting,11928982100.0,United States
SITM,SiTime Corporation Common Stock,Technology,Semiconductors,11758165998.0,United States
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management,11700318391.0,United States
EXEL,Exelixis Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),11676502657.0,United States
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts,11664267448.0,United States
OKTA,Okta Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,11579084029.0,United States
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,11519706776.0,United States
GEN,Gen Digital Inc. Common Stock,Technology,Computer Software: Prepackaged Software,11453101966.0,United States
SFD,Smithfield Foods Inc. Common Stock,Consumer Staples,Meat/Poultry/Fish,11304601766.0,United States
